nombre,codigo,hexadecimal,libro,cartilla
Sweet Cream,AP99-6,FFD7A9,Magic-Book-Nuevo,Ambiance Plus-64
Apricot Flower,AP99-5,FFB775,Magic-Book-Nuevo,Ambiance Plus-64
Orange Bedder,AP99-4,FC9043,Magic-Book-Nuevo,Ambiance Plus-64
Hillside Bloom,AP99-3,FBB571,Magic-Book-Nuevo,Ambiance Plus-64
Petite Peach,AP99-2,FFCF9D,Magic-Book-Nuevo,Ambiance Plus-64
Feather Plume,AP99-1,FFDAAE,Magic-Book-Nuevo,Ambiance Plus-64
Peachy Pink,AP98-6,FED1AD,Magic-Book-Nuevo,Ambiance Plus-64
Spiced Orange,AP98-5,FDB885,Magic-Book-Nuevo,Ambiance Plus-64
Autumn Blaze,AP98-4,EC864E,Magic-Book-Nuevo,Ambiance Plus-64
Buffy Orange,AP98-3,FAAA74,Magic-Book-Nuevo,Ambiance Plus-64
Fruity Flavor,AP98-2,FFCB9C,Magic-Book-Nuevo,Ambiance Plus-64
Musing,AP98-1,FED5AE,Magic-Book-Nuevo,Ambiance Plus-64
Spring Song,AP97-6,FCC8BC,Magic-Book-Nuevo,Ambiance Plus-64
Corallina,AP97-5,F99D8C,Magic-Book-Nuevo,Ambiance Plus-64
Koralle,AP97-4,E96D5A,Magic-Book-Nuevo,Ambiance Plus-64
Cinnarose,AP97-3,EA9E8D,Magic-Book-Nuevo,Ambiance Plus-64
Daydawn,AP97-2,F6BFB0,Magic-Book-Nuevo,Ambiance Plus-64
Magnolia Blossom,AP97-1,F6CABD,Magic-Book-Nuevo,Ambiance Plus-64
Pink Geranium,AP96-6,FBC5C1,Magic-Book-Nuevo,Ambiance Plus-64
Strawberry Ice,AP96-5,F69B97,Magic-Book-Nuevo,Ambiance Plus-64
Fire Princess,AP96-4,E56A62,Magic-Book-Nuevo,Ambiance Plus-64
Colonial Rose,AP96-3,E49894,Magic-Book-Nuevo,Ambiance Plus-64
