nombre,codigo,hexadecimal,libro,cartilla
AB238-1,AB238-1,ac3c52,ColourFal Zero,ColorSensations-64
AB238-2,AB238-2,bc4040,ColourFal Zero,ColorSensations-64
AB238-3,AB238-3,bc4040,ColourFal Zero,ColorSensations-64
AB238-4,AB238-4,c1415a,ColourFal Zero,ColorSensations-64
AB238-5,AB238-5,b54245,ColourFal Zero,ColorSensations-64
AB238-6,AB238-6,c33a4e,ColourFal Zero,ColorSensations-64
AB238-7,AB238-7,e5503c,ColourFal Zero,ColorSensations-64
AB238-8,AB238-8,c44d45,ColourFal Zero,ColorSensations-64
AB239-1,AB239-1,a04743,ColourFal Zero,ColorSensations-64
AB239-2,AB239-2,d24744,ColourFal Zero,ColorSensations-64
AB239-3,AB239-3,d2525f,ColourFal Zero,ColorSensations-64
AB239-4,AB239-4,b53d3e,ColourFal Zero,ColorSensations-64
AB239-5,AB239-5,bb3d40,ColourFal Zero,ColorSensations-64
AB239-6,AB239-6,ca4b60,ColourFal Zero,ColorSensations-64
AB239-7,AB239-7,944040,ColourFal Zero,ColorSensations-64
AB239-8,AB239-8,c84451,ColourFal Zero,ColorSensations-64
AB240-1,AB240-1,c44852,ColourFal Zero,ColorSensations-64
AB240-2,AB240-2,e3675d,ColourFal Zero,ColorSensations-64
AB240-3,AB240-3,b94d43,ColourFal Zero,ColorSensations-64
AB240-4,AB240-4,e15556,ColourFal Zero,ColorSensations-64
AB240-5,AB240-5,9f4551,ColourFal Zero,ColorSensations-64
AB240-6,AB240-6,d84349,ColourFal Zero,ColorSensations-64
AB240-7,AB240-7,a13e52,ColourFal Zero,ColorSensations-64
AB240-8,AB240-8,884743,ColourFal Zero,ColorSensations-64
AB241-1,AB241-1,c44244,ColourFal Zero,ColorSensations-64
AB241-2,AB241-2,8d4141,ColourFal Zero,ColorSensations-64
AB241-3,AB241-3,c1423c,ColourFal Zero,ColorSensations-64
AB241-4,AB241-4,924148,ColourFal Zero,ColorSensations-64
AB241-5,AB241-5,df5352,ColourFal Zero,ColorSensations-64
AB241-6,AB241-6,944541,ColourFal Zero,ColorSensations-64
AB241-7,AB241-7,cf4044,ColourFal Zero,ColorSensations-64
AB241-8,AB241-8,df533a,ColourFal Zero,ColorSensations-64
AB242-1,AB242-1,d94940,ColourFal Zero,ColorSensations-64
AB242-2,AB242-2,f99478,ColourFal Zero,ColorSensations-64
AB242-3,AB242-3,c34d41,ColourFal Zero,ColorSensations-64
AB242-4,AB242-4,db5647,ColourFal Zero,ColorSensations-64
AB242-5,AB242-5,e76650,ColourFal Zero,ColorSensations-64
AB242-6,AB242-6,d54f44,ColourFal Zero,ColorSensations-64
AB242-7,AB242-7,ae5245,ColourFal Zero,ColorSensations-64
AB242-8,AB242-8,d84e43,ColourFal Zero,ColorSensations-64
AB243-1,AB243-1,e76235,ColourFal Zero,ColorSensations-64
AB243-2,AB243-2,d3463d,ColourFal Zero,ColorSensations-64
AB243-3,AB243-3,e8644b,ColourFal Zero,ColorSensations-64
AB243-4,AB243-4,f88266,ColourFal Zero,ColorSensations-64
AB243-5,AB243-5,da4d3c,ColourFal Zero,ColorSensations-64
AB243-6,AB243-6,ff9d76,ColourFal Zero,ColorSensations-64
AB243-7,AB243-7,dc543e,ColourFal Zero,ColorSensations-64
AB243-8,AB243-8,e36154,ColourFal Zero,ColorSensations-64
