code,name,hex
213R,Reds,#72453c
214R,Reds,#885c52
215R,Reds,#b88979
216R,Reds,#c29e8d
217R,Reds,#443529
218R,Reds,#42322a
219R,Reds,#4b3428
220R,Reds,#573727
221R,Reds,#673b2a
222R,Reds,#743f30
001V,Violets,#622d4c
002V,Violets,#793058
003V,Violets,#8b3d68
004V,Violets,#a14a78
005V,Violets,#af6188
006V,Violets,#cc7b9d
007V,Violets,#54364b
008V,Violets,#633554
009V,Violets,#723966
010V,Violets,#864d7d
011V,Violets,#9c6592
012V,Violets,#c695af
013V,Violets,#403250
014V,Violets,#4f3a62
015V,Violets,#56416f
016V,Violets,#715688
017V,Violets,#8a709d
018V,Violets,#b29bb4
019V,Violets,#322e49
020V,Violets,#343866
021V,Violets,#4a4b7f
022V,Violets,#585b88
023V,Violets,#65669a
024V,Violets,#787fa8
025V,Violets,#5a5c80
026V,Violets,#707593
027V,Violets,#8e8ca7
028V,Violets,#b3b2b8
029V,Violets,#cbc5bf
030V,Violets,#e2d5c2
031V,Violets,#817491
032V,Violets,#97889d
033V,Violets,#b1a0aa
034V,Violets,#ccb5b6
035V,Violets,#dec7bd
036V,Violets,#f3dec5
037V,Violets,#a96988
038V,Violets,#b07c9d
039V,Violets,#ca9dac
040V,Violets,#dbafb4
041V,Violets,#ebc2bc
042V,Violets,#f5d0bf
043V,Violets,#be6f94
044V,Violets,#d184a1
045V,Violets,#dea0ac
046V,Violets,#eeb9b6
047V,Violets,#f4ceb9
048V,Violets,#f2d5bb
049V,Violets,#ffb9ba
050V,Violets,#f5c7b9
051V,Violets,#ffd3c0
052V,Violets,#ffdac2
053V,Violets,#ffe3c3
054V,Violets,#ffe2c1
055V,Violets,#a7918f
056V,Violets,#ceb2a7
057V,Violets,#edcfbe
058V,Violets,#f4d5c2
059V,Violets,#fadec3
060V,Violets,#f7dcbf
061V,Violets,#756a7d
062V,Violets,#9d9098
063V,Violets,#c5b2ac
064V,Violets,#e4cebc
065V,Violets,#edd7c0
066V,Violets,#f7dec2
067V,Violets,#664f7b
068V,Violets,#826994
069V,Violets,#a38caa
070V,Violets,#c1abba
071V,Violets,#c9b6ba
072V,Violets,#dac7bd
073V,Violets,#89576d
074V,Violets,#9d7b8c
075V,Violets,#bb9ba0
076V,Violets,#d0aeb0
077V,Violets,#e5c2b8
078V,Violets,#f1d4bf
079V,Violets,#824660
080V,Violets,#95536d
081V,Violets,#ad6c7f
082V,Violets,#cc919a
083V,Violets,#d2a29f
084V,Violets,#f6d3bb
085V,Violets,#67465c
086V,Violets,#7c5970
087V,Violets,#957186
088V,Violets,#ab8594
089V,Violets,#ba9ea3
090V,Violets,#ceb4af
091V,Violets,#543f59
092V,Violets,#74607c
093V,Violets,#846f88
094V,Violets,#ab939f
095V,Violets,#d3b7b5
096V,Violets,#ebd2bf
097V,Violets,#433c54
098V,Violets,#57506e
099V,Violets,#7b718c
100V,Violets,#a494a0
101V,Violets,#bda8ac
102V,Violets,#e0cdbf
103V,Violets,#69657c
104V,Violets,#858594
105V,Violets,#9e99a7
106V,Violets,#afa8a9
107V,Violets,#cbc0b8
108V,Violets,#dacec1
109V,Violets,#353754
110V,Violets,#54566f
111V,Violets,#6e7286
112V,Violets,#8a8899
113V,Violets,#9d9ba4
114V,Violets,#b9b2af
115V,Violets,#363749
116V,Violets,#4d4e5e
117V,Violets,#646270
118V,Violets,#797781
119V,Violets,#948f91
120V,Violets,#bdb3a7
121V,Violets,#44303f
122V,Violets,#5c4754
123V,Violets,#755f6c
124V,Violets,#927880
125V,Violets,#ab8f91
126V,Violets,#a7938e
127V,Violets,#45353e
128V,Violets,#716064
129V,Violets,#938280
130V,Violets,#ae9a90
131V,Violets,#d5bfaa
132V,Violets,#f0d9bb
133V,Violets,#5f4b4b
134V,Violets,#715959
135V,Violets,#957972
136V,Violets,#b59b94
137V,Violets,#c6b3a5
138V,Violets,#dec6b2
139V,Violets,#4e3d38
140V,Violets,#60504c
141V,Violets,#88776e
142V,Violets,#99867b
143V,Violets,#bea897
144V,Violets,#cab29e
145V,Violets,#575358
146V,Violets,#777372
147V,Violets,#878582
148V,Violets,#a49e97
149V,Violets,#c2b6a5
150V,Violets,#e3d0b7
151V,Violets,#6f625c
152V,Violets,#766a66
153V,Violets,#8b7a73
154V,Violets,#988a81
155V,Violets,#b9a799
156V,Violets,#c6b4a3
157V,Violets,#73665c
158V,Violets,#9a8b7f
159V,Violets,#bcac9a
160V,Violets,#e2ceb5
161V,Violets,#f5dec1
162V,Violets,#eddabe
001B,Blues,#323a4e
002B,Blues,#314875
003B,Blues,#365e8d
004B,Blues,#586d8d
005B,Blues,#7c859b
006B,Blues,#9b9fa9
007B,Blues,#2e3649
008B,Blues,#343f56
009B,Blues,#30446c
010B,Blues,#2c598c
011B,Blues,#4572a0
012B,Blues,#5e7ba3
013B,Blues,#2f3239
014B,Blues,#2f394c
015B,Blues,#2d415b
016B,Blues,#214968
017B,Blues,#035277
018B,Blues,#0d658b
019B,Blues,#273945
020B,Blues,#1d4b59
021B,Blues,#065166
022B,Blues,#005a71
023B,Blues,#007089
024B,Blues,#00839e
025B,Blues,#1e3e43
026B,Blues,#124952
027B,Blues,#005865
028B,Blues,#006677
029B,Blues,#0e7a85
030B,Blues,#0e97a4
031B,Blues,#266c72
032B,Blues,#48888c
033B,Blues,#5f9d9d
034B,Blues,#69adac
035B,Blues,#afc8b5
036B,Blues,#d7dcc2
037B,Blues,#4babad
038B,Blues,#95bdb2
039B,Blues,#99c6ba
040B,Blues,#b8d1ba
041B,Blues,#d8dabc
042B,Blues,#d8d4b4
043B,Blues,#97c2b0
044B,Blues,#b1cdb6
045B,Blues,#cddec5
046B,Blues,#d4dfc4
047B,Blues,#e2e5c4
048B,Blues,#ebe6c3
049B,Blues,#8db1a4
050B,Blues,#abc6b5
051B,Blues,#d8dcc4
052B,Blues,#dfe0c6
053B,Blues,#eae2c3
054B,Blues,#f5e5c3
055B,Blues,#259db3
056B,Blues,#5ca6af
057B,Blues,#76adb2
058B,Blues,#87bcb8
059B,Blues,#a3c8be
060B,Blues,#c6d5bd
061B,Blues,#006d9a
062B,Blues,#1b8aae
063B,Blues,#4fa0b8
064B,Blues,#8fbdc2
065B,Blues,#abc9c3
066B,Blues,#d3d8c4
067B,Blues,#295583
068B,Blues,#51799f
069B,Blues,#7193ae
070B,Blues,#a1b7bc
071B,Blues,#beccc3
072B,Blues,#d9d6c3
073B,Blues,#1d4160
074B,Blues,#435a72
075B,Blues,#70869c
076B,Blues,#8093a2
077B,Blues,#aab0b2
078B,Blues,#ddd1bd
079B,Blues,#5f7594
080B,Blues,#778ea5
081B,Blues,#8fa7b8
082B,Blues,#a6b3b9
083B,Blues,#b6bdbd
084B,Blues,#c5c8bf
085B,Blues,#567b8f
086B,Blues,#6f92a4
087B,Blues,#89abb5
088B,Blues,#90b7bd
089B,Blues,#a4c2bd
090B,Blues,#c1cabc
091B,Blues,#1e6372
092B,Blues,#3f8492
093B,Blues,#65979e
094B,Blues,#85acaf
095B,Blues,#a7bfb8
096B,Blues,#ccd8c7
097B,Blues,#1c535f
098B,Blues,#41757f
099B,Blues,#6c8e8f
100B,Blues,#9fb1a9
101B,Blues,#a9bab2
102B,Blues,#d6d7c4
103B,Blues,#3a5252
104B,Blues,#597a78
105B,Blues,#8b9a90
106B,Blues,#a7b2a2
107B,Blues,#c3c0ad
108B,Blues,#ded5bd
109B,Blues,#3d676b
110B,Blues,#4b797d
111B,Blues,#678e8d
112B,Blues,#94ab9f
113B,Blues,#bbc5b1
114B,Blues,#cbcdb5
115B,Blues,#44677f
116B,Blues,#607d8a
117B,Blues,#728892
118B,Blues,#879ea2
119B,Blues,#b7c2b7
120B,Blues,#c9cdbf
121B,Blues,#344554
122B,Blues,#4a6071
123B,Blues,#607784
124B,Blues,#879192
125B,Blues,#9eaaa7
126B,Blues,#bcc2b8
127B,Blues,#455053
128B,Blues,#5c6f72
129B,Blues,#859291
130B,Blues,#a6aea7
131B,Blues,#bfbfb1
132B,Blues,#e0d8c1
133B,Blues,#454a51
134B,Blues,#606d7a
135B,Blues,#8f959a
136B,Blues,#b6b0a6
137B,Blues,#c5bbad
138B,Blues,#e0d0b8
139B,Blues,#4c5955
140B,Blues,#6d766f
141B,Blues,#838a7f
142B,Blues,#989f94
143B,Blues,#c7c1aa
144B,Blues,#e6d8bb
145B,Blues,#434242
146B,Blues,#575655
147B,Blues,#918d83
148B,Blues,#c1b9a6
149B,Blues,#e6d8be
150B,Blues,#f6e1bf
151B,Blues,#60594f
152B,Blues,#79756a
153B,Blues,#9e998a
154B,Blues,#bab09c
155B,Blues,#d5caaf
156B,Blues,#f1dfbe
157B,Blues,#65615a
158B,Blues,#8f867a
159B,Blues,#b9ad98
160B,Blues,#cec4ab
161B,Blues,#e9d9b9
162B,Blues,#eedebc
001G,Greens,#124042
002G,Greens,#105257
003G,Greens,#006d70
004G,Greens,#008c8d
005G,Greens,#4ca09d
006G,Greens,#7eb5a8
007G,Greens,#20453e
008G,Greens,#295d58
009G,Greens,#006e65
010G,Greens,#1b867b
011G,Greens,#009085
012G,Greens,#289587
013G,Greens,#284133
014G,Greens,#116149
015G,Greens,#007c5a
016G,Greens,#3a8f69
017G,Greens,#20976e
018G,Greens,#46b082
019G,Greens,#39492f
020G,Greens,#30512e
021G,Greens,#346e3d
022G,Greens,#46864d
023G,Greens,#479653
024G,Greens,#67ac63
025G,Greens,#11592c
026G,Greens,#2b6f37
027G,Greens,#477c32
028G,Greens,#6d922e
029G,Greens,#82ab33
030G,Greens,#93b84f
031G,Greens,#635626
032G,Greens,#666628
033G,Greens,#8e8f3c
034G,Greens,#9c9b33
035G,Greens,#b9c140
036G,Greens,#c0c855
037G,Greens,#796a25
038G,Greens,#867a22
039G,Greens,#b6a52c
040G,Greens,#cbbd0d
041G,Greens,#e0c639
042G,Greens,#d6c74d
